LAB_ID,LATITUDE,LONGITUDE,TYPE,NAME,ATTRIBUTE,GEOL_AGE,STRUCT_SRC,Strat Unit or Age at Total Depth,Series/System,Formation,Member,TOC %,S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg CO2/g rock),Tmax (degC),HI ((S2/TOC)*100),OI ((S3/TOC)*100),S2/S3,(S1/TOC)*100,PI (S1/(S1+S2)),S1+S2,Calculated %Ro,Number of %Ro Readings,Total Sample %Ro,Number of Indigenous %Ro Readings,Indigenous %Ro (mean),%Ro Standard Deviation,%Ro Mean Corrected for Suppression,TAI Color,Thermal Alteration Index (TAI),Amorphous Debris %,Finely Disseminated Organic Matter %,Herbaceous Plant Debris %,Woody Plant Debris %,Coaly Fragments %,Algal Debris %,Palynomorphs %,Preservation in Source Material,Recovery from Source Material,Indigenous Vitrinite %,Caved Vitrinite %,Recycled/Oxidized Vitrinite %,Inertinite %,Solid Bitumen %,Amorphous Kerogen %,Kerogen Composition Comments,CAI Min,CAI Max ,CAI Field Number,USGS ID Number,Strat Unit Sampled for Mineralogy,Quartz %,Feldspar %,Carbonate %,Illite/Smectite %,Illite %,Kaolinite %,Chlorite %,Pyrite %,Other Minerals %,Total Clay %,LOI %,,,,,
,39.38173,-83.62323,,,,,,,Upper Ordovician,,,0.7,0.2,2.2,,439,328,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.81749,-80.96666,,,,,,,Upper Ordovician,,,3.03,2.61,3.31,,459,,,,,0.45,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.72901,-80.89936,,,,,,,Upper Ordovician,,,3.64,2.41,1.82,,474,,,,,0.61,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.78623,-80.87024,,,,,,,Upper Ordovician,,,1.9,0.88,0.67,,459,,,,,0.57,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.87526,-80.98811,,,,,,,Upper Ordovician,,,3.81,4.1,5.28,,461,,,,,0.47,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.69298,-80.67822,,,,,,,Upper Ordovician,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.6599,-80.73369,,,,,,,Upper Ordovician,,,3.04,1.48,1.44,,456,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.81876,-80.85617,,,,,,,Upper Ordovician,,,2.42,2.24,1.62,,468,,,,,0.65,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.85922,-80.79922,,,,,,,Upper Ordovician,,,3.37,1.34,1.56,,495,,,,,0.53,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.65943,-80.81186,,,,,,,Upper Ordovician,,,3.49,0.45,0.99,,333,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.77802,-80.98969,,,,,,,Upper Ordovician,,,3.53,2.27,2.8,,472,,,,,0.5,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.82308,-81.03663,,,,,,,Upper Ordovician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,
,40.365386,-81.649628,,,,,,,Upper Devonian,Ohio Shale,Huron Member,2.27,1.17,8.24,0.29,437,363,13,28,52,0.12,3.44,,,,53,0.42,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.39485,-81.8033,,,,,,,Upper Ordovician,,,2.86,1.58,6.4,,440,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
,40.261408,-81.643717,,,,,,Rose Run Sandstone,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,3.59,1.98,14.94,0.41,439,416,11,36,55,0.12,16.92,0.74,40,0.62,34,0.63,0.06,,"O, OB","2.3, 2.7",98,tr,2,,,,tr,good,good,1,1,tr,tr,tr,98,"palynomorphs, acritarchs, spores, Tasmanites?",,,,OH9300,Rhinestreet Shale Member of West Falls Formation,41,3,1,0,33,2,14,5,0,50,3.23,,,,,
